label,sentence
-4,"['DbM7', 'AbM7', 'Fm', 'Adim', 'DbM7', 'AbM7', 'Fm', 'Fm', 'Dbadd9', 'Eb', 'Fm7', 'Ab/C', 'Dbadd9', 'Eb', 'Fm7', 'Ab', 'Dbadd9', 'Eb', 'Fm7', 'Ab/C', 'Dbadd9', 'Eb', 'Fm7', 'DbM7', 'Ebsus4', 'Ab/C', 'Db', 'DbM7', 'Ebsus4', 'Cm', 'Db', 'DbM7', 'Ebsus4', 'Ab/C', 'Db', 'DbM7', 'Ebsus4', 'Cm', 'Db', 'Bbm7', 'Db/Eb']"
5,"['E', 'B/D#', 'C#m7 ', 'B', 'E', 'B/D#', 'C#m7 ', 'D#7', 'C#m7', 'D#7', 'G#sus4', 'G#m', 'C#m7', 'D#7', 'G#sus4', 'G#m', 'C#m7', 'D#7', 'G#sus4', 'G#m', 'C#m7', 'D#7', 'G#m', 'C#m7', 'D#7', 'G#m', 'C#m7', 'D#7', 'G#m', 'C#m7', 'D#7', 'G#m', 'C#m7', 'D#7', 'G#m', 'C#m7', 'D#7', 'G#m', 'C#m7', 'D#7', 'G#m']"
-2,"['Em7', 'Bm7', 'CM7', 'Em7', 'Bm7', 'CM7', 'Em7', 'Bm7', 'CM7', 'Em7', 'Bm7', 'CM7', 'Gadd9', 'CM7', 'Gadd9', 'CM7', 'G', 'CM7', 'G', 'D/F#', 'Em', 'Bm', 'Am7', 'D7', 'D', 'G', 'CM7', 'G', 'G', 'D/F#', 'Em', 'Bm', 'Am7', 'D', 'D#dim', 'Em', 'Bm', 'C', 'G', 'D/F#', 'Em']"
-4,"['DbM7', 'Ab/C', 'Bbm7', 'AbM7', 'DbM7', 'Ab/C', 'Bbm7', 'Db/Eb', 'AbM7', 'DbM7', 'Ab/C', 'Bbm7', 'Db/Eb', 'AbM7', 'DbM7', 'Ab/C', 'Bbm7', 'Db/Eb', 'AbM7', 'Fm', 'Ebm7', 'DbM7', 'Ab/C', 'Bbm7', 'Db/Eb', 'AbM7', 'Fm', 'Ebm7', 'DbM7', 'Ab/C', 'Dbm7', 'Ebm7', 'Ebadd9', 'AbM7', 'Ab/C', 'Fm7', 'Ebm7', 'Ab7', 'DbM7', 'Ab/C', 'Bbm7']"
-2,"['EbM7', 'F', 'Gm', 'EbM7', 'F', 'Bb', 'D7', 'EbM7', 'Gbdim', 'Gm', 'F', 'Cm7', 'Cm7/F', 'EbM7', 'Dm7', 'Cm7', 'BbM7', 'EbM7', 'Dm7', 'Cm7', 'Cm7/F', 'BbM7', 'E9b5', 'EbM7', 'Dm7', 'Cm7', 'BbM7', 'Cm7', 'D7', 'EbM7', 'Cm7/F', 'G', 'CM7', 'Em7', 'Asus4', 'Am7', 'Dm7', 'Em7', 'F', 'G', 'Ab']"
-2,"['Bb', 'Bb', 'Bb', 'Bb', 'Bb', 'Gm', 'Bb', 'F7', 'Eb', 'Gm', 'F', 'Ab', 'Bb', 'Bb', 'Gm', 'Bb', 'F7', 'Eb', 'Gm', 'F', 'Ab', 'Bb', 'F7', 'Bb', 'D7', 'Gm', 'Cm7', 'F', 'Bb', 'D7', 'Gm', 'Eb', 'D7', 'Cm', 'D7', 'Gm', 'Cm', 'F', 'Bb', 'Eb', 'Bb']"
-1,"['BbM7', 'Am7', 'Gm7', 'Gm7/C', 'BbM7', 'Am7', 'Gm7', 'Bbm/C', 'Bbm/C', 'BbM7', 'BbｍM7', 'Am7', 'C/D', 'Dm', 'Gm7', 'A', 'Dm', 'Dbaug', 'F/C', 'Bm7-5', 'BbM7', 'BbｍM7', 'Am7', 'C/D', 'Dm', 'Gm7', 'Gm7/C', 'BbM7', 'BbM7', 'BbM9', 'Gm7', 'Gm7/C', 'Am7', 'Dm', 'Gm7', 'Gm7/C', 'Cm7', 'Eb/F', 'Bm7-5', 'Bb', 'Am7']"
5,"['E/F#', 'B/F#', 'Em/F#', 'B', 'E/F#', 'B/F#', 'C#m7', 'D#m7', 'EM7', 'D#m7', 'C#m7/F#', 'B', 'D#m7', 'F#m6', 'G#7', 'C#m7', 'Em7', 'B', 'G#m7', 'C#7', 'E/F#', 'F#7', 'B', 'D#m7', 'F#m6', 'G#7', 'C#m7', 'Em7', 'B', 'G#m7', 'C#7', 'F#7', 'B', 'B7', 'E', 'F#', 'D#m7', 'G#m', 'E', 'F#', 'F#m7']"
-2,"['Bb5', 'Bbm/Ab', 'GbM7', 'F7', 'Bb', 'Eb', 'F', 'Dm7', 'Eb', 'Gm7', 'Am7', 'Cm7', 'F', 'Bb', 'Csus4', 'C', 'F/C', 'A/C#', 'Dm', 'Eb', 'A7', 'D7sus4', 'D7', 'EbM7', 'F9', 'D/F#', 'Gm', 'Gm/F', 'Eb', 'F', 'Eb/F', 'Bb', 'D7', 'C9/E', 'D7/F#', 'EbM7', 'F9', 'D/F#', 'Gm', 'Fadd9', 'Eb']"
0,"['C', ' C', ' G/B', ' Am7', ' C/G', ' FM7 ', ' Em7', ' Dm7', ' Gaug', 'G', 'Ab', ' Am', ' C/G', ' FM7 ', ' Em7', ' Dm7', ' F/G', ' C', 'C', 'Dm', 'Ebm', ' Em7', ' Am', ' F', ' Fm', ' Em', ' Eb', ' Dm7', ' Gsus4', 'G', 'Am', 'Bm-5', ' C', ' Dm7 ', ' C/E', ' FM7 ', 'FmM7', 'G', ' C', ' Dm7 ', ' Em7']"
